Audience,Inq-FA21,Inq-FA20,App-FA21,App_FA20,Chg-Inq,Chg-App
HS_IS," 1,184 "," 3,420 ", 36 , 44 ,-65%,-18%
HS_OOS," 4,214 "," 7,717 ", 81 , 65 ,-45%,25%
TR," 4,989 "," 11,558 ", 66 , 64 ,-57%,3%
WA, 386 , 697 , 120 , 98 ,-45%,22%
GR_WA, 102 , 362 , 96 , 81 ,-72%,19%
GR_CU, 119 , 277 , 36 , 42 ,-57%,-14%
Online, -   , -   , 7 , 1 ,,600%
