"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","FiscalYear","AgeGroupforTransfers","n","DataDate"
"1","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine","FY17","Transfer Age",1,2020-11-17
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY16","Transfer Age",1,2020-11-17
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY17","Transfer Age",1,2020-11-17
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY18","Transfer Age",2,2020-11-17
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY17","Transfer Age",1,2020-11-17
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY18","Transfer Age",1,2020-11-17
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY15 or earlier","Too Old",3,2020-11-17
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY17","Too Old",2,2020-11-17
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY18","Too Old",1,2020-11-17
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY17","Too Old",2,2020-11-17
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY18","Too Old",3,2020-11-17
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Targeted OOS","FY18","Too Old",1,2020-11-17
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY15 or earlier","Transfer Age",2,2020-11-17
"14","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY17","Transfer Age",1,2020-11-17
"15","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Remaining USA","FY15 or earlier","Too Young",1,2020-11-17
"16","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Targeted OOS","FY17","Transfer Age",1,2020-11-17
"17","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY15 or earlier","Transfer Age",7,2020-11-17
"18","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY16","Transfer Age",3,2020-11-17
"19","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY17","Transfer Age",3,2020-11-17
"20","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY18","Transfer Age",4,2020-11-17
"21","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY17","Transfer Age",1,2020-11-17
"22","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY18","Transfer Age",9,2020-11-17
"23","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY17","Transfer Age",2,2020-11-17
"24","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY18","Transfer Age",3,2020-11-17
"25","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY15 or earlier","Too Old",11,2020-11-17
"26","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY16","Too Old",7,2020-11-17
"27","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY17","Too Old",6,2020-11-17
"28","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY18","Too Old",15,2020-11-17
"29","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY16","Too Old",1,2020-11-17
"30","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY17","Too Old",3,2020-11-17
"31","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY18","Too Old",6,2020-11-17
"32","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Targeted OOS","FY18","Too Old",2,2020-11-17
"33","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","19 and Under","Maine","FY15 or earlier","Transfer Age",1,2020-11-17
"34","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY15 or earlier","Transfer Age",4,2020-11-17
"35","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY16","Transfer Age",1,2020-11-17
"36","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY17","Transfer Age",5,2020-11-17
"37","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY18","Transfer Age",4,2020-11-17
"38","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Remaining USA","FY18","Transfer Age",2,2020-11-17
"39","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Targeted OOS","FY18","Transfer Age",1,2020-11-17
"40","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY15 or earlier","Too Old",18,2020-11-17
"41","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY16","Too Old",6,2020-11-17
"42","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY17","Too Old",14,2020-11-17
"43","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY18","Too Old",16,2020-11-17
"44","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Remaining USA","FY18","Too Old",3,2020-11-17
"45","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","19 and Under","Maine","FY15 or earlier","Transfer Age",11,2020-11-17
"46","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","19 and Under","Maine","FY16","Transfer Age",1,2020-11-17
"47","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY15 or earlier","Transfer Age",16,2020-11-17
"48","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY16","Transfer Age",10,2020-11-17
"49","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY17","Transfer Age",8,2020-11-17
"50","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY18","Transfer Age",13,2020-11-17
"51","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Other NE","FY17","Transfer Age",1,2020-11-17
"52","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Remaining USA","FY18","Transfer Age",4,2020-11-17
"53","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Targeted OOS","FY18","Transfer Age",1,2020-11-17
"54","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY15 or earlier","Too Old",32,2020-11-17
"55","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY16","Too Old",16,2020-11-17
"56","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY17","Too Old",21,2020-11-17
"57","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY18","Too Old",50,2020-11-17
"58","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Remaining USA","FY18","Too Old",7,2020-11-17
"59","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","26 and Up","Maine","FY18","Too Old",2,2020-11-17
"60","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","26 and Up","Maine","FY19","Too Old",2,2020-11-17
"61","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","26 and Up","Remaining USA","FY18","Too Old",1,2020-11-17
"62","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Confirmed","26 and Up","Maine","FY19","Too Old",1,2020-11-17
"63","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Confirmed","26 and Up","Remaining USA","FY18","Too Old",1,2020-11-17
"64","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","20-25","Maine","FY18","Transfer Age",1,2020-11-17
"65","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","20-25","Maine","FY19","Transfer Age",1,2020-11-17
"66","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","26 and Up","Maine","FY19","Too Old",1,2020-11-17
"67","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY15 or earlier","Too Young",3,2020-11-17
"68","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY16","Too Young",7,2020-11-17
"69","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY16","Transfer Age",2,2020-11-17
"70","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY17","Too Young",5,2020-11-17
"71","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY17","Transfer Age",1,2020-11-17
"72","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Remaining USA","FY15 or earlier","Too Young",2,2020-11-17
"73","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Remaining USA","FY16","Too Young",3,2020-11-17
