"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","FiscalYear","AgeGroupforTransfers","n","DataDate"
"1","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine","FY17","Transfer Age",1,2020-10-28
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY16","Transfer Age",1,2020-10-28
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY17","Transfer Age",1,2020-10-28
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY18","Transfer Age",2,2020-10-28
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY17","Transfer Age",1,2020-10-28
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY18","Transfer Age",1,2020-10-28
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY15 or earlier","Too Old",3,2020-10-28
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY17","Too Old",2,2020-10-28
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY18","Too Old",1,2020-10-28
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY17","Too Old",2,2020-10-28
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY18","Too Old",3,2020-10-28
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Targeted OOS","FY18","Too Old",1,2020-10-28
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY15 or earlier","Transfer Age",2,2020-10-28
"14","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY17","Transfer Age",1,2020-10-28
"15","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Remaining USA","FY15 or earlier","Too Young",1,2020-10-28
"16","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Targeted OOS","FY17","Transfer Age",1,2020-10-28
"17","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY15 or earlier","Transfer Age",7,2020-10-28
"18","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY16","Transfer Age",3,2020-10-28
"19","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY17","Transfer Age",3,2020-10-28
"20","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY18","Transfer Age",4,2020-10-28
"21","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY17","Transfer Age",1,2020-10-28
"22","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY18","Transfer Age",9,2020-10-28
"23","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY17","Transfer Age",2,2020-10-28
"24","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY18","Transfer Age",3,2020-10-28
"25","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY15 or earlier","Too Old",12,2020-10-28
"26","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY16","Too Old",7,2020-10-28
"27","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY17","Too Old",6,2020-10-28
"28","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY18","Too Old",15,2020-10-28
"29","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY16","Too Old",1,2020-10-28
"30","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY17","Too Old",3,2020-10-28
"31","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY18","Too Old",6,2020-10-28
"32","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Targeted OOS","FY18","Too Old",2,2020-10-28
"33","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","19 and Under","Maine","FY15 or earlier","Transfer Age",1,2020-10-28
"34","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY15 or earlier","Transfer Age",4,2020-10-28
"35","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY16","Transfer Age",1,2020-10-28
"36","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY17","Transfer Age",5,2020-10-28
"37","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY18","Transfer Age",4,2020-10-28
"38","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Remaining USA","FY18","Transfer Age",2,2020-10-28
"39","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Targeted OOS","FY18","Transfer Age",1,2020-10-28
"40","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY15 or earlier","Too Old",18,2020-10-28
"41","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY16","Too Old",6,2020-10-28
"42","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY17","Too Old",14,2020-10-28
"43","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Maine","FY18","Too Old",16,2020-10-28
"44","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","26 and Up","Remaining USA","FY18","Too Old",3,2020-10-28
"45","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","19 and Under","Maine","FY15 or earlier","Transfer Age",11,2020-10-28
"46","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","19 and Under","Maine","FY16","Transfer Age",1,2020-10-28
"47","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY15 or earlier","Transfer Age",16,2020-10-28
"48","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY16","Transfer Age",10,2020-10-28
"49","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY17","Transfer Age",8,2020-10-28
"50","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Maine","FY18","Transfer Age",13,2020-10-28
"51","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Other NE","FY17","Transfer Age",1,2020-10-28
"52","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Remaining USA","FY18","Transfer Age",4,2020-10-28
"53","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","20-25","Targeted OOS","FY18","Transfer Age",1,2020-10-28
"54","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY15 or earlier","Too Old",32,2020-10-28
"55","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY16","Too Old",16,2020-10-28
"56","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY17","Too Old",21,2020-10-28
"57","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Maine","FY18","Too Old",50,2020-10-28
"58","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Enrolled","26 and Up","Remaining USA","FY18","Too Old",7,2020-10-28
"59","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","26 and Up","Maine","FY18","Too Old",2,2020-10-28
"60","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","26 and Up","Maine","FY19","Too Old",2,2020-10-28
"61","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Applied","26 and Up","Remaining USA","FY18","Too Old",1,2020-10-28
"62","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Confirmed","26 and Up","Maine","FY19","Too Old",1,2020-10-28
"63","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Confirmed","26 and Up","Remaining USA","FY18","Too Old",1,2020-10-28
"64","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","20-25","Maine","FY18","Transfer Age",1,2020-10-28
"65","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","20-25","Maine","FY19","Transfer Age",1,2020-10-28
"66","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Enrolled","26 and Up","Maine","FY19","Too Old",1,2020-10-28
"67","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY15 or earlier","Too Young",3,2020-10-28
"68","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY16","Too Young",7,2020-10-28
"69","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY16","Transfer Age",2,2020-10-28
"70","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY17","Too Young",5,2020-10-28
"71","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Maine","FY17","Transfer Age",1,2020-10-28
"72","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Remaining USA","FY15 or earlier","Too Young",2,2020-10-28
"73","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Remaining USA","FY16","Too Young",3,2020-10-28
"74","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Remaining USA","FY17","Too Young",3,2020-10-28
"75","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Targeted OOS","FY15 or earlier","Too Young",1,2020-10-28
"76","Not Stealth","Graduate","Graduate","Fall 2018","Inquiry","Inquiry","19 and Under","Targeted OOS","FY16","Too Young",1,2020-10-28
