"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","FiscalYear","AgeGroupforTransfers","n","DataDate"
"1","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine","FY17","Transfer Age",1,2020-12-01
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY16","Transfer Age",1,2020-12-01
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY17","Transfer Age",1,2020-12-01
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY18","Transfer Age",2,2020-12-01
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY17","Transfer Age",1,2020-12-01
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY18","Transfer Age",1,2020-12-01
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY15 or earlier","Too Old",3,2020-12-01
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY17","Too Old",2,2020-12-01
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY18","Too Old",1,2020-12-01
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY17","Too Old",2,2020-12-01
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY18","Too Old",3,2020-12-01
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Targeted OOS","FY18","Too Old",1,2020-12-01
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY15 or earlier","Transfer Age",2,2020-12-01
"14","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY17","Transfer Age",1,2020-12-01
"15","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Remaining USA","FY15 or earlier","Too Young",1,2020-12-01
"16","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Targeted OOS","FY17","Transfer Age",1,2020-12-01
"17","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY15 or earlier","Transfer Age",7,2020-12-01
"18","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY16","Transfer Age",3,2020-12-01
"19","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY17","Transfer Age",3,2020-12-01
"20","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY18","Transfer Age",4,2020-12-01
"21","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY17","Transfer Age",1,2020-12-01
"22","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY18","Transfer Age",9,2020-12-01
"23","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY17","Transfer Age",2,2020-12-01
"24","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY18","Transfer Age",3,2020-12-01
"25","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY15 or earlier","Too Old",11,2020-12-01
