"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","FiscalYear","AgeGroupforTransfers","n","DataDate"
"1","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine","FY17","Transfer Age",1,2020-11-05
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY16","Transfer Age",1,2020-11-05
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY17","Transfer Age",1,2020-11-05
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY18","Transfer Age",2,2020-11-05
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY17","Transfer Age",1,2020-11-05
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY18","Transfer Age",1,2020-11-05
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY15 or earlier","Too Old",3,2020-11-05
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY17","Too Old",2,2020-11-05
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY18","Too Old",1,2020-11-05
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY17","Too Old",2,2020-11-05
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY18","Too Old",3,2020-11-05
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Targeted OOS","FY18","Too Old",1,2020-11-05
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY15 or earlier","Transfer Age",2,2020-11-05
