"","Stealth","Career","Student.Type","Anticipated.Start.Term.Year","Student.Stage","App.Application.Status","AgeGroup","Region","FiscalYear","AgeGroupforTransfers","n","DataDate"
"1","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","19 and Under","Maine","FY17","Transfer Age",1,2020-11-13
"2","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY16","Transfer Age",1,2020-11-13
"3","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY17","Transfer Age",1,2020-11-13
"4","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Maine","FY18","Transfer Age",2,2020-11-13
"5","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY17","Transfer Age",1,2020-11-13
"6","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","20-25","Remaining USA","FY18","Transfer Age",1,2020-11-13
"7","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY15 or earlier","Too Old",3,2020-11-13
"8","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY17","Too Old",2,2020-11-13
"9","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Maine","FY18","Too Old",1,2020-11-13
"10","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY17","Too Old",2,2020-11-13
"11","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Remaining USA","FY18","Too Old",3,2020-11-13
"12","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Admitted","26 and Up","Targeted OOS","FY18","Too Old",1,2020-11-13
"13","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY15 or earlier","Transfer Age",2,2020-11-13
"14","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Maine","FY17","Transfer Age",1,2020-11-13
"15","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Remaining USA","FY15 or earlier","Too Young",1,2020-11-13
"16","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","19 and Under","Targeted OOS","FY17","Transfer Age",1,2020-11-13
"17","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY15 or earlier","Transfer Age",7,2020-11-13
"18","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY16","Transfer Age",3,2020-11-13
"19","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY17","Transfer Age",3,2020-11-13
"20","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Maine","FY18","Transfer Age",4,2020-11-13
"21","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY17","Transfer Age",1,2020-11-13
"22","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Remaining USA","FY18","Transfer Age",9,2020-11-13
"23","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY17","Transfer Age",2,2020-11-13
"24","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","20-25","Targeted OOS","FY18","Transfer Age",3,2020-11-13
"25","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY15 or earlier","Too Old",11,2020-11-13
"26","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY16","Too Old",7,2020-11-13
"27","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY17","Too Old",6,2020-11-13
"28","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Maine","FY18","Too Old",15,2020-11-13
"29","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY16","Too Old",1,2020-11-13
"30","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY17","Too Old",3,2020-11-13
"31","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Remaining USA","FY18","Too Old",6,2020-11-13
"32","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Applied","26 and Up","Targeted OOS","FY18","Too Old",2,2020-11-13
"33","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","19 and Under","Maine","FY15 or earlier","Transfer Age",1,2020-11-13
"34","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY15 or earlier","Transfer Age",4,2020-11-13
"35","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY16","Transfer Age",1,2020-11-13
"36","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY17","Transfer Age",5,2020-11-13
"37","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Maine","FY18","Transfer Age",4,2020-11-13
"38","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Remaining USA","FY18","Transfer Age",2,2020-11-13
"39","Not Stealth","Graduate","Graduate","Fall 2018","Applicant","Confirmed","20-25","Targeted OOS","FY18","Transfer Age",1,2020-11-13
